CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,"1,419.75",225,"7,800.00","7,500",1.00,63.50,75,-,-,-,-,-,-,
,-,-,-,-,-,-,375,"1,191.85","1,381.95",375,"7,900.00",150,39.10,95.65,75,52.05,65.15,53.31,7,7,7,
,-,-,-,-,-,-,225,"1,113.00","1,219.85",225,"8,000.00",75,66.15,70.00,75,26.25,71.00,51.37,"1,424",44,113,
,-,-,-,-,-,-,225,846.95,"1,234.30",225,"8,100.00",150,67.05,172.80,225,-,-,-,-,-,-,
,-,-,-,-,-,-,225,754.20,"1,139.45",225,"8,200.00",150,85.40,180.10,225,-,-,-,-,-,-,
,-,-,-,-,-,-,750,851.45,"1,040.90",375,"8,300.00",150,99.15,161.00,75,-,-,-,-,-,-,
,4,4,5,40.69,850.10,-901.00,375,792.15,914.20,300,"8,400.00",75,136.05,195.00,75,66.85,152.25,51.61,93,10,23,
,-,-,-,-,-,-,525,726.40,860.55,225,"8,500.00",75,165.25,172.00,75,65.85,170.00,50.22,751,69,98,
,-,-,-,-,-,-,225,409.25,954.90,225,"8,600.00","2,100",162.35,293.95,225,120.60,182.85,47.86,72,17,17,
,-,-,-,-,-,-,225,367.45,857.30,225,"8,700.00",75,161.85,328.45,225,158.65,233.70,50.25,11,3,3,
,-,-,-,-,-,-,525,489.45,682.65,225,"8,800.00",75,238.50,300.00,75,94.45,238.50,46.24,88,5,29,
,-,-,-,-,-,-,225,432.30,603.15,225,"8,900.00",375,275.50,315.00,75,144.05,305.00,49.51,80,28,36,
,28,27,36,46.49,491.00,-707.05,75,450.00,504.30,75,"9,000.00",75,348.25,362.10,75,149.05,360.00,50.79,"3,316",13,308,
,33,33,136,44.31,420.00,-740.10,150,410.00,436.00,75,"9,100.00",75,351.00,413.30,75,88.60,413.60,51.45,96,14,17,
,12,12,39,43.50,364.50,-720.40,75,350.00,432.70,75,"9,200.00",75,381.05,560.65,150,235.55,490.15,54.33,148,24,24,
,40,40,125,48.56,364.25,-647.65,75,310.10,363.60,75,"9,300.00",300,474.50,612.70,225,186.05,488.35,47.81,20,7,7,
,13,11,36,44.24,286.25,-318.95,75,228.55,299.00,75,"9,400.00",225,442.65,643.75,75,343.45,570.00,50.47,3,1,1,
,205,184,929,43.80,246.00,-330.10,75,240.05,258.95,75,"9,500.00",300,593.60,647.75,75,232.00,632.70,50.58,901,-26,148,
,17,6,68,46.93,238.75,-317.05,75,218.05,293.50,75,"9,600.00",375,623.35,830.60,300,366.60,702.00,51.09,11,7,8,
,29,25,134,43.15,178.85,-329.85,75,178.35,206.00,75,"9,700.00",375,683.25,888.90,225,479.20,811.15,56.15,7,3,3,
,110,61,741,45.97,174.00,-269.40,75,162.55,183.00,75,"9,800.00",75,838.45,918.90,75,255.25,798.55,45.54,26,1,7,
,31,31,89,45.84,149.20,-485.50,75,150.00,156.00,75,"9,900.00",225,875.15,973.50,225,356.10,955.45,56.49,91,8,17,
,"1,004",122,"4,642",46.43,132.00,-222.50,75,126.10,134.95,225,"10,000.00",75,992.50,"1,078.35",225,400.15,"1,058.00",60.23,156,-51,103,
,28,-23,154,48.09,123.75,-182.45,75,110.00,121.15,75,"10,100.00",225,"1,039.25","1,199.15",225,-,587.85,-,-,-,2,
,21,12,139,47.01,100.00,-173.55,75,56.80,109.95,75,"10,200.00",375,"1,074.80","1,336.35",225,-,-,-,-,-,-,
,20,1,54,48.53,93.70,-150.90,75,75.00,100.00,75,"10,300.00",300,"1,236.45","1,342.45",525,16.00,831.40,-,8,-2,-,
,16,16,50,46.72,71.05,-332.35,75,33.25,118.55,"2,250","10,400.00",750,"1,235.40","1,462.35",750,451.70,"1,107.55",-,6,5,5,
,393,121,"2,097",47.24,62.40,-132.50,75,63.00,64.75,75,"10,500.00",300,"1,423.10","1,480.60",75,688.70,"1,453.45",59.91,1,1,2,
,2,-1,7,71.53,186.00,-26.45,75,45.20,101.25,225,"10,600.00",225,"1,440.75","1,638.15",525,-,-,-,-,-,-,
,8,-,43,49.90,54.70,-98.70,300,35.00,55.00,75,"10,700.00",225,"1,531.70","1,691.60",525,-,-,-,-,-,-,
,1,1,5,61.06,95.75,-173.35,600,5.60,86.85,225,"10,800.00",225,"1,626.70","1,822.85",525,-,-,-,-,-,-,
,3,1,11,64.72,102.70,-26.95,150,35.40,54.00,75,"10,900.00",300,"1,792.10","1,889.65",525,-,-,-,-,-,-,
,336,-97,"1,653",51.40,37.95,-69.30,75,31.05,38.00,225,"11,000.00",225,"1,852.40","1,966.05",225,-,"1,562.80",-,-,-,3,
,6,-8,23,58.34,55.35,-35.40,75,16.20,46.90,75,"11,100.00",225,"1,942.10","2,082.05",750,-,-,-,-,-,-,
,7,6,27,50.49,25.00,-57.75,75,25.00,40.00,225,"11,200.00",225,"2,052.45","2,178.85",525,-,-,-,-,-,-,
,21,-14,97,51.69,20.00,-49.25,450,10.15,23.00,75,"11,400.00",225,"2,247.45","2,358.35",525,-,-,-,-,-,-,
,117,-66,244,53.90,18.00,-32.65,75,16.15,18.00,150,"11,600.00",300,"2,464.75","2,546.80",225,-,-,-,-,-,-,
,135,-16,175,53.91,12.90,-29.80,300,12.85,14.90,75,"11,800.00",225,"2,648.10","2,741.75",525,-,-,-,-,-,-,
