CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,77,-,1,55.00,321.25,-7.90,"1,400",307.70,320.75,"1,050","1,440.00","1,750",0.40,0.60,350,-0.15,0.50,36.07,38,18,372,
,-,-,-,-,-,-,"1,400",265.30,277.70,"1,050","1,480.00","1,050",0.40,0.55,350,-0.70,0.45,31.22,15,-10,419,
-,-,-,-,-,-,-,-,-,-,-,"1,500.00",350,0.45,0.50,"2,800",-0.05,0.55,29.85,95,-10,828,
,-,-,-,-,-,-,"1,400",225.85,238.20,"1,050","1,520.00",350,0.65,0.90,700,-0.45,0.65,28.32,120,-44,234,
,-,-,-,-,-,-,"1,400",186.80,199.20,350,"1,560.00",700,1.55,1.65,350,-0.70,1.65,27.86,366,165,526,
,-,-,-,-,-,-,"1,400",168.80,183.15,"1,050","1,580.00","1,400",2.35,2.50,"1,050",-0.70,2.55,27.67,228,3,240,
,141,-,-,-,151.00,-,"1,400",150.05,162.00,"1,050","1,600.00",700,3.50,3.65,700,-0.90,3.55,26.96,815,-149,745,
,11,-,-,-,133.65,-,350,131.40,141.40,350,"1,620.00",350,5.00,5.15,700,-1.00,5.00,26.38,656,-11,309,
,18,-,-,-,116.35,-,"1,050",113.65,123.20,350,"1,640.00",700,6.25,7.50,"1,750",-0.95,7.05,25.90,"1,058",93,376,
,54,-,1,23.43,104.30,7.00,350,96.35,106.85,"1,050","1,660.00",700,9.20,9.50,350,-1.15,9.45,25.09,"1,266",23,486,
,36,-,2,14.84,79.65,1.95,"1,400",78.65,91.30,"1,050","1,680.00",350,8.10,17.70,350,-1.65,12.45,24.16,"1,256",-12,653,
,390,-14,342,19.09,67.60,1.70,"1,050",62.45,71.00,350,"1,700.00","1,050",15.25,18.50,"1,050",-1.70,16.75,23.53,"2,288",-107,"1,646",
,238,-57,517,19.58,54.10,2.15,350,52.65,57.50,350,"1,720.00",350,20.05,23.20,"1,050",-1.55,22.70,23.19,"1,100",26,465,
,675,18,"2,344",19.11,41.00,1.40,350,40.75,41.85,"5,600","1,740.00",350,29.40,30.40,700,-2.20,29.60,22.53,"1,635",32,804,
,"1,516",-140,"4,228",18.85,30.10,1.00,350,29.75,30.75,700,"1,760.00",350,37.05,41.90,350,-2.55,38.70,22.25,"1,213",44,760,
,"3,281",-6,"2,692",18.50,21.05,0.75,350,20.75,21.40,"1,050","1,780.00",700,46.35,52.10,350,-3.00,49.60,22.05,382,10,234,
,"5,539",-45,"5,131",18.41,14.35,0.45,700,14.20,14.70,"2,100","1,800.00",350,59.65,67.15,350,-0.85,63.85,22.96,114,-15,253,
,"1,190",-85,"1,322",18.62,9.75,0.25,350,9.60,10.00,350,"1,820.00",700,73.80,81.65,700,0.55,82.25,25.92,9,-1,155,
,"1,074",-20,"1,299",18.97,6.60,0.15,350,6.50,6.75,"1,050","1,840.00",700,89.75,99.90,350,-0.90,99.20,27.41,39,10,179,
,"1,592",19,"1,092",19.43,4.50,0.05,700,4.50,4.95,350,"1,860.00",700,107.40,117.10,700,-4.70,112.10,24.90,14,2,92,
,600,-24,404,20.29,3.30,0.10,"1,050",3.25,3.50,350,"1,880.00",700,126.35,138.45,"1,400",-,115.90,-,-,-,9,
,"1,646",-77,864,20.85,2.30,-,350,2.25,2.35,"2,100","1,900.00",700,146.30,153.65,350,-2.50,151.00,29.68,15,5,95,
,439,132,332,20.86,1.40,-0.15,700,1.40,1.50,"2,450","1,920.00",700,163.90,176.45,"1,050",-,166.30,-,-,-,13,
,757,10,109,21.70,1.05,-,"1,050",0.95,1.05,700,"1,940.00","1,050",181.70,196.05,"1,050",-,179.45,-,-,-,5,
,514,-2,54,22.76,0.85,0.10,700,0.85,0.90,350,"1,960.00","1,050",200.65,215.65,"1,750",-,-,-,-,-,-,
,158,-2,6,24.51,0.85,0.20,350,0.75,0.90,350,"1,980.00",-,-,-,-,-,-,-,-,-,-,-
,"1,081",131,512,26.46,0.90,0.10,"1,750",0.85,0.90,700,"2,000.00","1,050",241.25,256.85,"1,050",-,286.10,-,-,-,2,
,90,-14,54,26.85,0.65,-,350,0.60,0.75,350,"2,020.00",-,-,-,-,-,-,-,-,-,-,-
,113,-,-,-,0.45,-,350,0.50,0.75,350,"2,040.00","1,050",280.90,296.40,"1,050",-,-,-,-,-,-,
,121,-,8,30.09,0.45,-0.10,"1,400",0.45,0.55,350,"2,080.00",-,-,-,-,-,-,-,-,-,-,-
,3,-,-,-,0.35,-,350,0.35,1.00,"1,400","2,120.00",-,-,-,-,-,-,-,-,-,-,-
