CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,500,970.20,991.90,875,"3,000.00",125,0.65,4.50,250,0.30,7.55,-,-,-,1,
,5,-,-,-,662.00,-,500,773.00,807.30,500,"3,200.00",375,2.00,-,-,-6.25,6.50,52.09,10,-7,30,
,-,-,-,-,-,-,500,673.15,708.15,500,"3,300.00",125,6.00,-,-,-,10.05,-,-,-,27,
,1,-,-,-,576.00,-,500,584.95,609.15,375,"3,400.00",125,15.00,19.45,125,3.25,15.45,48.39,63,22,88,
,6,-,-,-,278.00,-,500,489.35,517.70,500,"3,500.00",125,23.50,34.05,"2,500",3.25,23.25,46.53,572,49,129,
,64,-,-,-,469.75,-,500,403.25,427.00,375,"3,600.00",125,32.00,37.00,125,4.55,34.90,44.87,495,46,110,
,19,-3,6,38.87,340.00,-22.95,500,322.85,350.70,125,"3,700.00","3,750",45.95,66.20,125,4.30,52.15,43.50,56,16,185,
,52,6,33,37.89,263.15,-33.60,125,250.90,280.25,500,"3,800.00",125,74.40,86.20,125,12.85,86.25,45.26,54,4,91,
,116,-,5,37.46,197.20,-35.75,125,197.40,221.75,875,"3,900.00",125,118.50,133.35,125,8.70,118.50,43.71,58,8,77,
,250,30,229,38.43,147.20,-33.05,125,144.25,154.95,125,"4,000.00",125,163.15,185.35,500,7.50,163.15,43.13,56,18,94,
,88,-3,132,38.87,106.00,-29.80,"3,750",91.90,113.30,125,"4,100.00",125,209.20,236.55,125,-1.75,207.80,40.01,30,6,27,
,138,-1,102,38.70,72.45,-24.70,250,70.00,75.50,125,"4,200.00",250,284.60,305.60,375,8.90,287.20,43.85,1,-,32,
,204,1,103,39.38,50.15,-18.00,125,47.30,50.15,125,"4,300.00",500,352.20,381.10,500,-,333.75,-,-,-,111,
,91,-,152,38.85,31.30,-15.05,250,25.40,38.95,"2,500","4,400.00",125,436.00,454.80,500,-109.25,442.25,44.80,17,17,31,
,333,12,558,38.93,19.65,-11.55,250,18.90,20.60,"5,625","4,500.00",500,520.45,553.85,500,-,658.45,-,-,-,24,
,118,-3,163,39.42,12.55,-7.20,"3,750",10.15,13.25,125,"4,600.00",875,613.15,647.35,625,-,558.20,-,-,-,27,
,82,4,5,49.04,13.50,3.35,375,7.00,16.95,"5,000","4,800.00",875,810.80,847.30,500,-,737.95,-,-,-,2,
-,-,-,-,-,-,-,-,-,-,-,"5,000.00",875,779.20,"1,035.55",125,-,720.00,-,-,-,1,
