CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,750",308.35,325.55,"1,750","1,280.00",250,0.10,6.95,"12,500",-,-,-,-,-,-,
,-,-,-,-,-,-,750,268.65,289.30,750,"1,320.00",250,0.10,6.95,"12,500",-,2.05,-,-,-,-,
,-,-,-,-,-,-,750,228.05,241.35,"1,750","1,360.00","15,000",0.35,1.35,500,-1.40,1.10,33.67,150,89,137,
,-,-,-,-,-,-,750,208.65,222.45,750,"1,380.00",250,0.45,2.40,250,-1.55,2.35,35.54,3,2,2,
,-,-,-,-,215.00,-,750,189.65,203.75,"1,000","1,400.00",250,2.35,3.00,250,-0.35,2.80,33.81,102,-13,202,
,-,-,-,-,-,-,750,169.55,187.20,"1,000","1,420.00",250,0.65,7.95,"12,500",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,000",154.00,166.00,750,"1,440.00",250,4.80,5.20,250,0.65,5.20,32.32,111,-9,67,
,-,-,-,-,-,-,"1,000",136.25,148.45,750,"1,460.00",250,6.60,7.45,250,1.40,7.45,32.17,132,-21,117,
,-,-,-,-,-,-,750,118.65,130.50,750,"1,480.00",250,9.75,11.00,500,1.90,9.75,31.28,99,-23,67,
,11,1,1,42.99,120.60,-3.65,"1,000",102.25,114.50,"1,000","1,500.00",250,10.85,14.75,"5,000",3.10,13.50,31.16,281,12,327,
,-,-,-,-,-,-,750,84.75,98.35,750,"1,520.00",250,16.05,19.15,"5,000",3.40,17.00,29.99,117,1,90,
,45,2,3,30.79,77.60,-13.35,250,75.90,83.35,250,"1,540.00",250,22.80,24.10,500,5.80,23.65,30.55,356,-13,370,
,108,5,23,30.33,64.35,-12.95,750,59.45,70.05,250,"1,560.00",250,29.80,32.60,"5,000",7.00,30.00,29.91,297,4,230,
,229,25,130,31.23,54.40,-9.70,250,53.10,54.50,250,"1,580.00","2,250",37.00,37.95,250,7.95,37.85,29.44,421,103,282,
,574,135,"1,062",31.96,45.60,-6.70,500,43.60,45.50,250,"1,600.00",250,44.95,49.45,250,9.40,47.45,29.21,473,114,724,
,480,228,895,30.43,34.70,-7.05,250,33.05,35.00,250,"1,620.00",250,56.05,59.25,250,10.80,58.40,28.95,461,178,285,
,369,-10,428,29.78,26.50,-6.35,250,26.15,28.20,250,"1,640.00",500,67.25,75.75,250,10.70,69.05,27.48,75,-1,86,
,150,11,149,29.67,20.35,-5.20,"7,500",16.55,23.75,"5,000","1,660.00","1,000",79.00,88.25,250,9.85,80.35,25.22,21,6,61,
,148,6,98,29.69,15.50,-4.20,250,14.00,18.05,"5,000","1,680.00",750,94.45,106.65,750,-,84.00,-,-,-,3,
,912,36,451,30.07,12.00,-3.00,"1,250",10.50,12.80,250,"1,700.00",750,110.05,120.95,250,20.35,120.00,32.43,3,1,189,
,212,9,195,29.91,8.75,-2.30,250,6.75,10.70,"5,000","1,720.00",750,127.50,139.40,750,-,150.00,-,-,-,1,
,193,11,133,29.96,6.40,-2.00,250,5.65,8.00,"5,000","1,740.00",750,145.05,156.35,750,-,120.70,-,-,-,1,
,186,30,178,30.53,4.95,-1.55,250,4.75,5.30,250,"1,760.00","1,000",163.35,170.00,"1,000",-,146.40,-,-,-,104,
,17,7,48,30.47,3.50,-1.60,250,3.65,4.60,"5,000","1,780.00","1,000",181.60,194.55,750,-,173.10,-,-,-,1,
,952,61,441,31.40,2.85,-0.70,250,2.75,2.95,250,"1,800.00","1,000",201.05,209.75,250,-1.00,184.00,-,2,-2,257,
,1,-,-,-,4.20,-,500,0.75,8.30,"2,500","1,820.00",750,218.50,237.55,750,-,-,-,-,-,-,
,21,-,1,40.14,4.90,0.95,250,1.25,5.30,500,"1,840.00","1,000",240.05,255.10,750,-,211.80,-,-,-,6,
,8,-,-,-,3.05,-,250,0.65,7.65,"12,500","1,860.00",750,255.55,275.85,750,-,270.00,-,-,-,5,
,1,-,-,-,7.15,-,250,1.30,8.25,"12,500","1,880.00","1,000",280.00,298.50,750,-,-,-,-,-,-,
,624,-2,231,32.76,0.60,-0.40,500,0.60,0.80,"1,500","1,900.00",750,298.45,309.80,"1,000",-,264.00,-,-,-,372,
,-,-,-,-,-,-,"9,000",0.20,6.10,"12,500","1,920.00",750,313.90,334.00,750,-,-,-,-,-,-,
,145,-,4,41.21,0.65,0.10,250,0.35,0.65,500,"2,000.00","1,000",396.85,408.25,250,-,398.00,-,-,-,137,
,3,-,-,-,0.35,-,250,0.25,6.25,"12,500","2,040.00",750,437.30,453.25,"1,000",-,420.00,-,-,-,3,
