CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,780.00,"1,368",0.15,3.65,"4,560",-,0.30,-,-,-,10,
-,-,-,-,-,-,-,-,-,-,-,800.00,"4,560",0.15,0.20,"2,736",-0.05,0.20,42.26,25,-,456,
-,-,-,-,-,-,-,-,-,-,-,810.00,"1,368",0.15,3.60,"4,560",-,0.95,-,-,-,1,
-,-,-,-,-,-,-,-,-,-,-,820.00,"5,472",0.20,0.40,912,-,0.40,-,-,-,62,
-,-,-,-,-,-,-,-,-,-,-,850.00,456,0.25,0.40,"2,280",0.10,0.30,34.71,20,-10,350,
-,-,-,-,-,-,-,-,-,-,-,860.00,456,0.35,0.50,456,-0.10,0.35,33.51,19,2,101,
-,-,-,-,-,-,-,-,-,-,-,870.00,456,0.40,0.60,912,-0.40,0.40,32.19,72,4,316,
,-,-,-,-,-,-,"1,368",138.85,146.95,"1,368",880.00,456,0.55,0.75,456,-0.30,0.55,31.73,30,-,475,
-,-,-,-,-,-,-,-,-,-,-,890.00,"4,104",0.40,1.00,456,-,1.05,-,-,-,93,
,37,-,-,-,124.00,-,"1,368",120.65,125.55,912,900.00,912,0.80,1.10,"1,824",-0.35,0.95,30.42,530,170,"1,512",
-,-,-,-,-,-,-,-,-,-,-,910.00,456,1.15,1.40,456,-0.55,1.20,29.56,96,35,220,
,5,-,-,-,70.45,-,"1,824",101.45,108.25,456,920.00,"1,368",0.70,1.80,912,-0.80,1.65,29.21,170,32,270,
,25,-,-,-,95.00,-,"1,824",92.30,99.30,"1,824",930.00,912,2.30,2.35,456,-0.85,2.25,28.88,252,81,202,
,52,1,10,-,82.00,-0.95,456,83.70,89.35,"1,824",940.00,"1,368",3.00,3.40,456,-1.00,3.05,28.60,354,3,282,
,187,-1,10,17.86,77.80,2.55,456,75.30,78.40,912,950.00,456,3.95,4.30,456,-1.10,4.10,28.36,695,-1,582,
,86,-3,12,20.38,69.10,2.25,912,65.80,69.80,912,960.00,912,5.05,5.45,912,-1.30,5.25,27.78,726,34,305,
,148,-9,18,17.44,58.95,1.20,456,58.20,63.95,456,970.00,456,6.75,9.00,"5,928",-1.65,6.75,27.32,467,23,373,
,167,-19,79,24.63,54.45,3.25,"1,368",48.80,55.85,456,980.00,912,7.50,10.90,456,-1.65,8.65,26.91,359,-1,307,
,120,1,43,21.41,44.50,1.25,456,42.25,46.15,456,990.00,"1,368",8.30,10.95,456,-2.05,11.00,26.55,407,-27,312,
,474,26,445,21.08,37.00,0.20,456,36.60,38.00,456,"1,000.00",456,13.60,14.00,456,-2.40,13.80,26.14,893,-39,800,
,302,22,485,21.27,30.60,0.05,456,30.25,32.95,"1,824","1,010.00","1,824",13.85,20.00,"1,368",-2.75,17.15,25.76,800,27,275,
,638,94,"1,694",21.72,25.20,-0.25,456,24.55,25.20,456,"1,020.00",456,21.00,21.65,456,-2.85,21.50,25.81,814,21,450,
,579,193,"1,645",21.69,20.10,-0.50,456,19.50,21.55,"1,368","1,030.00","1,368",23.50,26.80,456,-3.10,26.35,25.74,662,233,387,
,522,30,854,21.77,15.85,-0.55,456,15.35,17.00,456,"1,040.00","1,368",29.00,32.80,456,-3.50,31.80,25.64,141,-,213,
,665,-40,958,21.75,12.20,-0.75,"1,368",12.25,13.90,456,"1,050.00","1,368",35.30,40.25,456,-3.15,38.45,26.17,203,-21,157,
,789,-412,"1,153",22.13,9.55,-0.65,"1,368",8.80,11.00,912,"1,060.00",456,43.05,48.75,456,-5.00,44.40,25.32,9,-2,505,
,315,-4,313,22.62,7.50,-0.65,912,5.00,8.25,456,"1,070.00","1,368",49.90,57.60,"1,368",-2.45,54.20,28.41,13,-2,102,
,482,117,416,22.84,5.70,-0.75,912,5.70,5.95,456,"1,080.00","1,368",58.70,64.80,"1,368",0.60,62.55,29.48,5,-3,71,
,339,87,302,23.60,4.60,-0.45,"1,368",4.40,4.65,456,"1,090.00","1,368",67.35,73.10,456,1.80,74.65,35.14,2,-1,16,
,"1,094",3,718,24.00,3.55,-0.40,912,3.45,3.60,456,"1,100.00","2,736",76.95,82.70,456,-6.40,79.05,30.20,9,3,138,
,148,-15,186,24.21,2.65,-0.50,912,2.65,2.75,912,"1,110.00","1,368",84.80,92.05,"3,192",-,86.10,-,-,-,7,
,312,56,227,24.80,2.10,-0.35,"1,368",2.00,2.15,"1,368","1,120.00","1,824",95.45,101.15,"3,192",19.50,102.00,39.83,1,-,7,
,284,134,293,25.15,1.60,-0.35,"1,824",1.55,1.70,912,"1,130.00","1,824",104.50,110.90,"1,368",-,87.45,-,-,-,6,
,410,19,82,25.84,1.30,-0.25,"1,368",1.20,1.35,912,"1,140.00","1,368",113.75,120.50,"1,824",-,112.60,-,-,-,1,
,378,258,380,26.22,1.00,-0.25,"3,648",0.80,1.00,"1,85,136","1,150.00","1,824",123.80,131.00,"1,368",-,-,-,-,-,-,
,567,-30,63,26.78,0.80,-0.20,"3,192",0.80,0.85,456,"1,160.00","1,368",132.90,140.70,"1,368",-,146.90,-,-,-,1,
,123,-,70,28.86,0.65,-0.15,456,0.50,0.70,456,"1,180.00","1,368",151.80,159.90,"1,824",-,135.75,-,-,-,6,
,334,-4,73,30.54,0.50,-0.05,"2,736",0.45,0.55,"1,368","1,200.00","1,368",172.80,179.80,"2,280",-,-,-,-,-,-,
