CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"4,800.00",200,0.30,14.00,100,-,10.00,-,-,-,2,
-,-,-,-,-,-,-,-,-,-,-,"5,100.00",100,1.55,5.00,100,-,18.00,-,-,-,1,
,-,-,-,-,-,-,300,"1,194.25","1,291.90","1,000","5,200.00",100,1.05,-,-,-,8.95,-,-,-,1,
,-,-,-,-,-,-,700,994.55,"1,074.05",300,"5,400.00",100,1.55,-,-,-,8.00,-,-,-,48,
-,-,-,-,-,-,-,-,-,-,-,"5,500.00",100,8.05,18.00,100,5.40,17.00,43.76,20,20,55,
,-,-,-,-,-,-,300,805.80,863.15,400,"5,600.00",100,10.30,25.15,"4,000",-0.70,14.25,38.28,13,-4,27,
,-,-,-,-,-,-,300,709.95,761.70,300,"5,700.00",100,16.60,20.00,100,0.15,19.65,37.15,33,18,51,
,5,-,-,-,635.00,-,200,622.10,669.50,400,"5,800.00",100,21.25,32.05,"2,000",-0.10,27.50,36.24,20,-4,53,
,2,-,-,-,512.95,-,300,526.50,579.20,400,"5,900.00",100,29.45,40.70,100,3.35,38.85,35.56,44,-8,57,
,82,-1,12,19.71,462.95,-14.75,500,448.25,487.60,"1,100","6,000.00",100,45.00,50.00,"1,000",-0.20,49.55,33.77,275,-21,397,
,18,-,2,32.76,423.00,42.50,200,368.95,419.95,700,"6,100.00",100,61.70,79.95,100,-1.70,68.00,32.97,57,13,133,
,79,-,4,27.00,322.00,26.80,200,301.80,342.90,300,"6,200.00",100,89.00,107.15,"2,000",-4.75,89.00,31.63,32,4,130,
,60,6,41,24.43,239.90,7.70,"1,500",217.15,266.85,300,"6,300.00",100,115.15,125.00,100,-10.30,125.00,31.89,83,-5,152,
,252,23,703,25.44,186.15,9.85,100,178.05,190.00,100,"6,400.00",200,155.75,190.15,300,-8.05,165.40,31.54,134,19,197,
,832,344,"2,031",26.60,143.90,10.50,100,140.25,143.80,100,"6,500.00",100,213.05,243.75,"1,100",-5.95,219.10,32.05,414,-38,184,
,97,40,160,26.58,104.00,4.90,100,104.05,114.90,100,"6,600.00",400,262.45,301.50,100,-,279.45,-,-,-,9,
,53,2,133,27.52,78.00,6.85,100,74.05,85.00,100,"6,700.00",400,339.05,372.90,100,-,384.75,-,-,-,7,
,134,12,101,27.60,54.35,4.85,100,54.40,69.00,100,"6,800.00",200,411.70,447.10,100,-,450.00,-,-,-,4,
,222,22,144,28.94,41.90,3.00,100,37.05,44.00,100,"6,900.00",200,493.65,544.20,300,-,-,-,-,-,-,
,919,51,570,29.77,30.95,1.05,100,30.00,32.40,100,"7,000.00",200,583.95,633.20,300,9.35,623.00,42.70,4,4,71,
,81,39,57,30.34,22.20,-3.20,100,18.40,28.40,"2,000","7,100.00",200,673.20,723.50,300,-,703.50,-,-,-,6,
,129,50,105,31.41,17.00,-0.85,100,15.05,21.80,"2,000","7,200.00",200,751.30,819.15,300,-,-,-,-,-,-,
,26,2,3,37.71,18.00,3.00,500,3.25,28.30,"4,000","7,400.00",400,958.80,"1,023.50",700,-,"1,270.00",-,-,-,2,
,23,2,5,37.17,11.90,-,200,6.05,11.90,100,"7,500.00",400,"1,059.25","1,108.85",300,-,"1,125.00",-,-,-,2,
,3,-,-,-,10.00,-,200,2.30,10.00,200,"7,600.00",400,"1,157.25","1,206.65",300,-,-,-,-,-,-,
,11,-,-,-,4.50,-,100,1.25,10.50,100,"8,000.00",400,"1,552.30","1,601.25",300,-,"1,894.35",-,-,-,1,
