CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,100.00,"16,500",0.05,0.10,"18,86,500",-,0.05,51.91,16,-8,109,
-,-,-,-,-,-,-,-,-,-,-,104.00,-,-,0.05,"38,500",-,0.05,45.59,4,-,270,
-,-,-,-,-,-,-,-,-,-,-,108.00,"7,26,000",0.05,0.10,"44,000",-,0.10,43.59,24,6,407,
,10,-,-,-,20.45,-,"22,000",22.60,23.55,"5,500",110.00,"11,99,000",0.10,0.15,"9,57,000",-,0.10,40.32,21,-15,685,
,-,-,-,-,-,-,"38,500",20.60,21.70,"38,500",112.00,"2,25,500",0.15,0.20,"4,18,000",-0.05,0.15,39.69,44,-17,202,
-,-,-,-,-,-,-,-,-,-,-,113.00,"3,24,500",0.15,0.20,"16,500",-,0.20,40.06,80,-29,168,
,-,-,-,-,15.60,-,"66,000",18.70,19.75,"22,000",114.00,"3,19,000",0.20,0.25,"1,43,000",0.05,0.25,40.03,39,-8,199,
,61,-,-,-,15.60,-,"5,500",17.90,18.80,"44,000",115.00,"25,30,000",0.20,0.30,"10,89,000",-,0.25,38.22,782,-109,547,
,-,-,-,-,-,-,"27,500",16.80,17.80,"22,000",116.00,"2,03,500",0.25,0.30,"44,000",-,0.25,36.41,114,-7,161,
-,-,-,-,-,-,-,-,-,-,-,117.00,"60,500",0.30,0.40,"55,000",0.05,0.35,37.29,61,48,207,
,94,-,-,-,12.60,-,"5,500",15.05,15.90,"22,000",118.00,"1,81,500",0.35,0.40,"5,500",-,0.35,35.39,77,2,165,
-,-,-,-,-,-,-,-,-,-,-,119.00,"2,36,500",0.40,0.45,"22,000",0.05,0.45,35.65,106,-33,195,
,444,-2,31,26.61,13.50,-1.65,"5,500",13.45,13.95,"33,000",120.00,"2,64,000",0.50,0.55,"1,04,500",0.05,0.50,34.62,"1,367",-31,"2,083",
,4,1,4,-,12.30,1.60,"11,000",12.45,12.90,"5,500",121.00,"2,86,000",0.55,0.60,"11,000",0.10,0.60,34.33,102,27,165,
,20,-,-,-,13.90,-,"22,000",11.35,12.10,"11,000",122.00,"1,15,500",0.65,0.70,"27,500",0.10,0.70,33.79,161,-6,263,
,19,-,1,28.42,10.85,-2.15,"5,500",10.70,11.05,"5,500",123.00,"33,000",0.75,0.80,"44,000",0.15,0.80,33.04,203,-14,566,
,35,-,-,-,11.80,-,"38,500",9.40,10.40,"22,000",124.00,"22,000",0.90,0.95,"44,000",0.15,0.95,32.73,199,3,228,
,401,1,26,24.11,8.85,-1.75,"11,000",9.05,9.35,"11,000",125.00,"82,500",1.05,1.10,"1,32,000",0.20,1.10,32.17,"1,459",3,"1,142",
