CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"2,800.00",175,0.70,0.80,350,0.20,0.85,36.18,48,4,"1,055",
,7,-,-,-,618.95,-,525,514.55,539.90,700,"2,900.00",350,1.50,1.70,175,0.15,1.50,33.08,54,-15,366,
-,-,-,-,-,-,-,-,-,-,-,"2,950.00","7,000",1.15,2.70,175,0.10,2.00,31.50,34,-,65,
,25,-,-,-,621.25,-,700,419.85,440.00,"1,575","3,000.00","20,125",3.15,3.55,175,0.10,3.25,30.94,643,-62,"1,069",
-,-,-,-,-,-,-,-,-,-,-,"3,050.00",175,4.40,4.90,175,0.50,4.65,29.73,298,59,235,
,4,-,-,-,390.75,-,"1,575",324.50,344.70,"1,575","3,100.00",175,6.80,7.10,350,1.10,6.85,28.72,"1,350",-7,"1,039",
,9,-,-,-,319.55,-,"1,575",273.90,299.15,175,"3,150.00",175,9.30,10.85,175,1.90,9.70,27.46,"1,029",-22,251,
,43,13,42,29.98,252.00,-71.40,175,240.00,253.50,525,"3,200.00",525,14.10,14.90,175,3.15,14.15,26.44,"4,051",66,"3,352",
,51,12,23,24.54,200.25,-173.55,175,192.90,208.40,525,"3,250.00",350,21.10,23.55,700,5.20,21.00,25.68,"2,334",562,"1,180",
,259,19,137,24.15,160.55,-63.70,350,150.00,165.95,175,"3,300.00",350,31.90,34.60,175,9.00,31.70,25.35,"4,665",-175,"1,798",
,192,57,324,25.00,128.35,-55.75,175,124.35,132.55,525,"3,350.00",350,46.45,48.80,350,14.05,46.50,25.13,"2,446",19,648,
,"1,223",695,"2,970",24.04,95.00,-51.75,175,93.15,96.60,175,"3,400.00",175,66.00,67.00,350,20.25,65.55,24.85,"10,322",507,"2,228",
,"1,570",771,"4,574",24.07,70.60,-44.00,175,70.50,70.95,700,"3,450.00",350,90.30,95.75,175,28.45,91.15,25.13,"4,597",-119,983,
,"3,873","1,610","8,455",24.13,50.55,-36.60,525,50.40,50.80,350,"3,500.00",700,112.30,129.65,175,36.50,121.00,25.26,"4,345",-434,"1,541",
,"2,858",737,"5,789",23.39,32.90,-31.90,175,34.20,36.40,175,"3,550.00","1,050",146.30,158.60,350,41.35,153.20,24.70,"1,006",-325,443,
,"6,493","1,241","11,579",25.09,25.20,-21.50,350,25.20,25.85,350,"3,600.00",175,187.45,199.85,175,50.95,194.00,25.88,"1,318",-257,"1,022",
,"2,764",403,"3,996",25.81,18.45,-14.40,175,18.40,18.95,"1,925","3,650.00",350,234.90,242.90,175,61.55,240.00,28.36,60,-14,168,
,"4,082",94,"6,012",26.64,13.40,-9.55,175,13.20,13.45,875,"3,700.00",350,278.95,294.90,525,65.10,285.00,29.82,61,-32,222,
,"1,188",173,"2,271",27.30,9.55,-6.65,"1,925",9.50,9.70,175,"3,750.00","1,750",323.40,337.40,175,39.75,302.00,-,14,-,46,
,"2,594",56,"4,112",28.14,7.00,-4.50,525,6.95,7.25,350,"3,800.00",175,371.45,379.50,175,55.40,362.00,-,4,2,94,
,821,86,897,28.95,5.15,-3.05,350,5.05,5.15,700,"3,850.00",175,418.45,436.50,700,-,309.95,-,-,-,27,
,"2,552",1,"2,196",29.87,3.90,-2.00,"6,650",3.85,4.00,700,"3,900.00",175,467.90,478.10,175,46.80,440.25,-,3,-,207,
,517,37,342,30.82,3.00,-1.25,175,2.95,3.10,350,"3,950.00",700,509.70,536.75,525,-,390.00,-,-,-,2,
,"2,703",192,"2,004",32.21,2.55,-0.90,875,2.50,2.75,525,"4,000.00",175,564.20,585.50,525,64.70,550.00,-,8,8,23,
,873,-456,"1,595",34.49,1.75,-0.60,350,1.70,1.80,"1,925","4,100.00",700,657.30,682.70,"1,225",-,-,-,-,-,-,
