CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,750,566.65,598.95,250,"2,600.00",750,0.20,11.90,250,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,500",464.10,492.30,"1,000","2,700.00",500,1.00,9.35,250,-,2.35,34.84,1,1,3,
,-,-,-,-,-,-,"1,750",418.00,454.40,750,"2,750.00",500,1.05,16.60,250,-,-,-,-,-,-,
,3,-,3,45.28,395.35,51.35,500,367.20,395.60,750,"2,800.00","1,000",4.80,6.35,"5,000",-0.95,4.85,32.22,28,-,39,
,-,-,-,-,-,-,"1,750",318.65,357.70,750,"2,850.00",250,3.05,23.10,"1,000",-,-,-,-,-,-,
,4,-,-,-,234.10,-,500,274.40,300.80,750,"2,900.00","7,500",6.90,11.00,250,-5.95,10.00,29.63,72,23,67,
,2,-,-,-,254.90,-,"1,250",229.05,253.55,750,"2,950.00",250,13.15,19.50,"5,000",-8.60,15.10,28.83,60,11,99,
,5,-,2,28.17,199.80,26.45,500,190.40,209.25,250,"3,000.00",500,19.80,27.00,250,-13.30,22.40,28.05,241,2,128,
,13,1,2,27.81,161.30,33.10,500,148.30,170.70,250,"3,050.00",250,29.40,41.55,"5,000",-16.45,33.40,27.62,88,22,88,
,82,-24,442,27.30,126.20,24.00,750,116.10,127.25,250,"3,100.00",250,46.45,50.45,250,-22.90,47.05,26.79,305,6,148,
,171,-125,"1,931",27.02,96.10,18.55,250,92.20,99.90,250,"3,150.00","6,250",59.00,78.00,500,-26.65,67.75,26.91,595,-4,138,
,297,-58,"3,757",26.50,70.00,13.15,250,70.00,70.30,250,"3,200.00",500,90.15,103.90,"1,000",-25.55,93.25,27.01,152,28,142,
,65,2,671,26.77,51.05,10.10,250,48.70,50.90,250,"3,250.00","1,500",108.80,136.30,750,-45.05,114.35,23.93,2,-2,49,
,217,42,"1,161",26.76,35.65,6.65,250,32.55,40.00,250,"3,300.00",250,154.10,163.35,250,-35.55,158.70,27.50,15,4,17,
,101,14,375,27.46,25.70,5.40,250,23.35,30.00,250,"3,350.00","1,750",183.10,208.10,250,-33.75,192.00,25.39,1,1,14,
,181,-30,863,27.56,17.30,3.10,250,17.00,18.95,250,"3,400.00",750,227.00,250.50,"1,750",-38.00,237.20,27.21,2,2,15,
,63,13,126,28.16,12.10,2.60,250,11.40,13.50,250,"3,450.00",750,269.15,300.35,750,-,318.00,-,-,-,5,
,257,79,819,29.12,8.85,1.70,250,7.55,8.50,250,"3,500.00","1,000",316.65,346.70,"1,750",-,327.50,-,-,-,2,
,59,8,91,30.19,6.65,1.25,250,5.45,8.70,"5,000","3,550.00",250,367.15,393.05,750,-,304.65,-,-,-,2,
,121,22,307,30.75,4.65,0.65,250,4.25,4.85,"1,000","3,600.00",250,410.50,441.45,750,-,353.80,-,-,-,2,
,66,15,82,31.80,3.55,0.90,250,3.55,5.75,"5,000","3,650.00",-,-,-,-,-,-,-,-,-,-,-
,65,-9,16,33.42,3.05,0.65,250,2.25,3.40,250,"3,700.00","1,000",508.70,536.50,750,-,446.45,-,-,-,2,
,2,-,-,-,10.30,-,250,0.80,4.00,250,"3,800.00","1,750",607.25,636.65,"2,500",-,-,-,-,-,-,
