CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"4,400.00",200,25.25,25.30,100,14.45,25.25,56.43,"7,234",739,"1,711",
,43,38,41,53.96,738.60,-181.10,300,688.30,778.10,300,"4,600.00",200,46.20,47.00,100,27.80,47.00,54.80,"12,712","1,276","2,230",
,-,-,-,-,-,-,400,631.35,664.40,400,"4,700.00",500,59.10,64.00,100,58.05,60.30,53.60,330,156,156,
,7,-2,18,39.53,532.05,-277.95,100,553.60,578.45,300,"4,800.00",100,79.65,79.95,200,45.25,79.65,52.99,"16,770","1,261","2,180",
,-,-,-,-,-,-,400,466.15,504.25,300,"4,900.00",100,99.80,103.00,100,97.10,101.50,51.89,409,194,194,
,288,203,569,48.12,413.00,-416.15,100,404.90,420.45,100,"5,000.00",300,128.95,129.50,"2,900",68.65,128.95,51.14,"40,427","1,970","4,484",
,111,65,181,47.86,348.20,-403.15,400,335.10,369.80,"1,700","5,100.00",100,163.00,164.00,100,86.20,163.05,50.45,"12,177",948,"1,558",
,483,395,"1,187",48.67,294.65,-376.20,400,292.00,295.00,100,"5,200.00",100,205.00,208.95,100,110.80,208.00,50.88,"20,789","1,539","2,278",
,"1,612","1,316","5,043",48.78,245.00,-430.65,100,244.00,246.00,800,"5,300.00",200,255.05,258.95,100,134.05,257.00,50.85,"20,179","1,605","2,177",
,"2,187","1,853","7,791",48.81,201.00,-327.20,100,200.90,202.00,600,"5,400.00",100,313.95,314.00,200,160.80,313.95,51.18,"23,806","1,098","1,750",
,"2,756","2,184","14,078",49.02,164.00,-295.05,100,163.50,164.00,400,"5,500.00",100,371.95,379.95,100,192.20,379.55,52.11,"30,840","1,469","3,202",
,"2,181","1,775","14,358",49.23,132.65,-268.05,100,132.65,133.00,400,"5,600.00",100,440.05,450.95,100,215.90,442.00,51.27,"18,592",485,"1,829",
,"4,322","3,126","37,295",49.60,107.05,-235.65,500,107.00,108.00,100,"5,700.00",100,514.05,522.95,100,247.90,515.25,51.64,"27,610",319,"2,425",
,"5,759","3,836","41,329",50.13,86.50,-203.20,200,86.05,86.80,700,"5,800.00",100,588.40,599.95,100,278.20,592.60,51.97,"9,613",-433,"1,368",
,"2,876","1,483","22,203",50.58,69.45,-174.05,300,69.05,69.45,100,"5,900.00","3,600",661.15,701.90,"3,000",307.70,674.80,52.58,"2,733",-229,616,
,"9,038","5,890","59,043",51.21,55.95,-145.90,100,55.70,55.95,100,"6,000.00",100,760.00,779.65,100,334.45,760.00,53.19,"2,141",119,"1,153",
,"2,227",407,"18,970",51.25,43.45,-123.85,100,43.40,43.90,200,"6,100.00","2,500",835.25,858.30,100,368.15,859.00,57.42,414,-42,462,
,"5,295","2,007","23,845",51.91,34.95,-103.35,100,34.75,35.00,500,"6,200.00","2,000",924.60,966.40,100,387.60,949.95,58.79,352,59,633,
,"2,146","1,033","16,189",52.72,28.45,-86.55,300,28.40,28.70,200,"6,300.00","1,000","1,024.20","1,074.15",300,390.00,"1,020.00",50.63,105,48,267,
,"1,773",577,"14,905",53.30,22.80,-71.95,300,22.60,23.95,100,"6,400.00","1,000","1,114.50","1,192.70",400,122.55,838.95,-,40,17,230,
,"5,389","1,760","35,091",54.02,18.50,-61.50,100,18.70,18.80,700,"6,500.00",900,"1,213.55","1,258.20",300,453.20,"1,225.00",60.44,63,10,384,
,"1,891",299,"10,374",55.20,15.70,-49.80,100,15.30,15.80,900,"6,600.00",200,"1,307.50","1,340.30",100,437.65,"1,319.25",61.01,217,144,531,
,"1,432",312,"6,321",56.45,13.50,-40.80,400,13.00,18.00,100,"6,700.00","4,000","1,207.55",-,-,172.70,"1,117.70",-,2,-1,113,
,"1,278",109,"7,563",56.23,10.10,-34.15,100,10.05,11.95,100,"6,800.00","1,000","1,433.95","1,804.70",200,56.95,"1,116.95",-,3,-1,102,
