CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"1,960.00",700,0.40,9.95,"1,400",-,14.65,-,-,-,5,
-,-,-,-,-,-,-,-,-,-,-,"1,980.00",700,0.45,9.90,"1,400",-,15.35,-,-,-,1,
,46,-,-,-,452.45,-,"2,100",569.95,646.60,"11,550","2,000.00","1,050",1.30,1.90,"1,050",0.45,1.45,50.99,119,-21,194,
-,-,-,-,-,-,-,-,-,-,-,"2,040.00","7,000",0.70,11.40,"1,050",0.15,1.35,47.17,3,-3,21,
-,-,-,-,-,-,-,-,-,-,-,"2,060.00","7,000",0.70,10.60,"1,400",0.60,21.70,-,-,-,13,
,-,-,-,-,-,-,"1,750",516.15,549.50,"1,050","2,080.00",350,0.80,8.95,"10,500",-,5.10,-,-,-,3,
,95,-,-,-,375.00,-,"2,450",495.70,524.45,"1,050","2,100.00","5,950",2.00,2.60,"5,250",-0.45,2.00,44.82,21,-8,180,
,-,-,-,-,-,-,"1,400",476.10,503.75,"1,050","2,120.00",350,0.80,2.35,350,0.35,2.35,44.25,12,-8,35,
-,-,-,-,-,-,-,-,-,-,-,"2,140.00",350,1.30,7.10,700,1.15,1.90,41.12,12,-11,3,
,-,-,-,-,-,-,"1,400",436.10,468.85,"1,050","2,160.00","7,000",1.25,7.95,"10,500",-,5.80,-,-,-,9,
,103,-,-,-,423.80,-,"1,400",396.60,420.75,"2,450","2,200.00",350,2.10,3.40,350,-0.35,3.10,39.30,86,6,665,
,-,-,-,-,-,-,"2,450",376.65,397.70,"1,050","2,220.00",350,1.35,3.70,700,0.05,3.75,-,-,-,32,
,-,-,-,-,-,-,"2,450",358.15,379.50,"1,050","2,240.00",350,3.00,5.35,350,0.80,4.85,39.05,3,-,125,
,7,-,-,-,375.20,-,"1,400",337.25,359.85,700,"2,260.00",350,1.70,5.95,700,-,5.00,-,-,-,103,
