CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,150,"2,281.85","2,375.45",350,"9,200.00",50,2.05,9.90,500,3.05,4.70,42.50,40,15,90,
,-,-,-,-,-,-,150,"2,183.35","2,267.90",200,"9,300.00",200,1.60,7.70,150,-,6.05,-,-,-,25,
,-,-,-,-,-,-,150,"2,082.75","2,175.90",200,"9,400.00",300,1.30,15.90,500,-,-,-,-,-,-,
,-,-,-,-,-,-,150,"1,984.90","2,073.45",200,"9,500.00",300,2.50,13.00,200,-,-,-,-,-,-,
,-,-,-,-,-,-,350,"1,885.75","1,973.95",200,"9,600.00","1,950",6.50,8.60,500,-0.40,6.00,36.69,4,-2,751,
,-,-,-,-,-,-,150,"1,781.80","1,872.50",200,"9,700.00",50,4.65,10.45,150,-1.35,4.75,33.74,27,9,400,
,-,-,-,-,-,-,150,"1,688.00","1,773.60",200,"9,800.00","1,000",5.25,8.50,150,-1.60,6.50,33.53,54,1,209,
,-,-,-,-,-,-,200,"1,586.55","1,682.40",150,"9,900.00",150,8.35,9.00,"12,500",0.85,8.55,33.16,270,173,385,
,41,-,-,-,"1,255.30",-,200,"1,494.00","1,579.85",200,"10,000.00",400,10.05,11.90,150,0.10,11.20,32.81,695,32,"1,305",
,-,-,-,-,-,-,350,"1,390.55","1,488.15",150,"10,100.00",500,10.55,20.00,150,0.45,13.55,32.01,116,59,76,
,-,-,-,-,-,-,250,"1,298.80","1,388.20",200,"10,200.00",50,15.70,24.00,50,1.15,16.70,31.32,360,72,292,
,-,-,-,-,-,-,200,"1,209.85","1,292.65",150,"10,300.00",50,19.60,23.90,50,1.20,20.75,30.68,377,-7,121,
,14,-,-,-,985.55,-,200,"1,109.10","1,198.00",200,"10,400.00",50,26.50,31.95,50,2.70,26.40,30.23,462,21,478,
,89,-,-,-,"1,110.00",-,200,"1,016.55","1,105.20",200,"10,500.00",100,30.05,38.00,600,3.85,33.05,29.70,"1,017",-19,"1,000",
,37,-,-,-,805.00,-,500,936.45,"1,012.60",200,"10,600.00",50,39.25,54.95,50,3.90,40.15,28.95,629,25,520,
,36,-,-,-,890.00,-,350,830.75,929.40,150,"10,700.00",50,32.95,74.90,100,6.50,51.10,28.61,527,61,447,
,92,-,-,-,809.50,8.80,500,754.10,824.75,200,"10,800.00",50,59.35,68.00,300,6.75,61.05,27.74,748,-43,753,
,111,-,-,-,697.85,-,250,644.70,748.25,200,"10,900.00","2,000",8.00,75.00,100,7.05,74.35,27.06,"1,081",-10,442,
,432,-45,249,24.55,619.25,-61.10,50,594.35,638.20,50,"11,000.00",100,85.00,91.20,50,9.85,91.05,26.46,"3,297",-131,"2,089",
,211,-25,297,23.69,536.05,-81.00,50,515.85,559.95,50,"11,100.00",200,109.45,114.05,100,11.80,111.50,25.91,"1,470",6,693,
,183,-54,294,23.76,465.05,-61.35,200,431.85,475.00,50,"11,200.00",100,132.30,138.85,50,16.35,138.40,25.62,"2,291",-88,787,
,482,86,817,24.22,403.55,-50.45,50,380.05,402.00,200,"11,300.00",50,159.85,173.55,50,18.40,169.45,25.28,"2,281",-26,687,
,720,127,"2,129",23.54,336.15,-49.80,50,336.00,338.95,50,"11,400.00",250,206.25,209.90,50,21.80,205.40,24.92,"4,912",-35,505,
,"2,641",260,"4,879",23.65,282.90,-43.40,100,279.70,282.95,50,"11,500.00",50,243.35,253.00,150,24.80,248.05,24.67,"3,912",-263,989,
,"2,154",233,"4,140",23.42,232.00,-39.70,50,228.00,234.90,100,"11,600.00",150,271.75,318.95,50,31.20,299.15,24.67,914,6,482,
,"1,202",52,"1,979",23.79,193.65,-34.30,50,172.05,193.45,50,"11,700.00",100,339.95,403.20,100,41.35,365.40,25.54,204,-9,168,
,"1,206",262,"2,840",23.98,158.90,-27.35,50,154.95,159.00,200,"11,800.00",750,390.75,466.45,200,38.00,419.95,24.82,22,5,185,
,458,37,"1,265",24.08,128.50,-23.75,50,122.95,130.95,50,"11,900.00",150,453.80,517.15,100,85.70,533.80,29.45,3,-3,104,
,"5,874","1,165","7,243",24.13,102.50,-19.90,150,102.85,105.00,350,"12,000.00",50,551.55,590.80,50,83.30,608.30,29.97,21,-6,208,
,726,30,863,24.28,81.65,-16.45,50,81.60,97.95,50,"12,100.00",350,602.20,690.85,250,-,895.75,-,-,-,20,
,642,59,905,24.81,67.30,-10.65,50,64.05,72.10,50,"12,200.00",500,687.35,768.50,500,-,833.95,-,-,-,5,
,583,83,"1,143",24.86,52.40,-9.30,50,50.05,59.95,50,"12,300.00",200,770.60,860.15,150,-,"1,108.95",-,-,-,4,
,446,54,887,25.05,41.15,-7.75,50,30.10,44.00,250,"12,400.00",200,859.75,946.60,200,-,"1,122.75",-,-,-,7,
,"1,773",-174,"2,932",25.23,32.10,-7.30,50,32.00,33.20,100,"12,500.00",150,950.40,"1,040.10",150,-,"1,596.50",-,-,-,1,
,316,24,274,25.49,25.25,-5.60,50,20.25,27.25,100,"12,600.00",200,"1,058.50","1,128.40",200,-,"1,124.20",-,-,-,5,
,378,20,192,25.77,19.85,-4.65,50,16.80,24.85,50,"12,700.00",200,"1,137.65","1,222.10",50,-,"1,789.15",-,-,-,1,
,647,14,429,26.07,15.65,-3.55,50,10.20,16.10,800,"12,800.00",200,"1,233.05","1,322.75",250,-,-,-,-,-,-,
,"1,894",168,"1,821",26.88,10.15,-1.40,50,9.75,10.35,50,"13,000.00",150,"1,422.10","1,518.55",350,-,-,-,-,-,-,
,409,-16,127,28.14,7.35,-1.15,50,7.35,7.60,50,"13,200.00",150,"1,618.20","1,711.40",350,-,-,-,-,-,-,
,420,-20,168,29.39,5.45,-1.65,50,5.40,5.85,100,"13,400.00",200,"1,821.45","1,903.45",350,-,-,-,-,-,-,
,167,-1,61,31.00,4.50,-0.95,150,3.30,4.50,150,"13,600.00",-,-,-,-,-,-,-,-,-,-,-
