CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"30,975",28.20,29.30,"13,275",90.00,-,-,0.15,"4,425",-,-,-,-,-,-,
,-,-,-,-,-,-,"30,975",26.25,27.75,"13,275",92.00,"44,250",0.05,0.65,"8,850",-0.05,0.15,57.74,1,-1,42,
,-,-,-,-,-,-,"13,275",24.30,26.10,"13,275",94.00,-,-,0.70,"30,975",-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,95.00,"26,550",0.15,0.25,"8,850",-,0.20,-,-,-,45,
,-,-,-,-,-,-,"30,975",22.30,23.95,"13,275",96.00,"1,77,000",0.05,0.85,"13,275",-,-,-,-,-,-,
,-,-,-,-,-,-,"53,100",21.25,23.00,"30,975",97.00,"1,77,000",0.05,0.90,"30,975",-,-,-,-,-,-,
,-,-,-,-,-,-,"30,975",20.40,21.90,"13,275",98.00,"1,77,000",0.05,0.80,"13,275",-,0.90,-,-,-,2,
,-,-,-,-,-,-,"53,100",19.30,20.90,"30,975",99.00,"1,81,425",0.05,0.80,"13,275",-,-,-,-,-,-,
,45,-,5,-,19.20,-0.30,"30,975",18.65,19.50,"17,700",100.00,"84,075",0.30,0.40,"57,525",-0.05,0.35,49.69,129,19,302,
,-,-,-,-,-,-,"13,275",17.55,19.10,"17,700",101.00,"17,700",0.15,1.00,"30,975",-,0.40,-,-,-,23,
,2,-,-,-,14.85,-,"53,100",16.50,17.65,"17,700",102.00,"22,125",0.20,0.50,"4,425",-,0.50,49.37,1,-,31,
,-,-,-,-,-,-,"22,125",15.60,17.20,"13,275",103.00,"4,425",0.05,1.15,"30,975",-,1.25,-,-,-,22,
,-,-,-,-,-,-,"53,100",14.55,16.05,"30,975",104.00,"4,425",0.25,1.15,"30,975",-,0.60,-,-,-,21,
,79,-4,9,-,14.45,-0.05,"53,100",13.85,14.75,"4,425",105.00,"22,125",0.60,0.70,"26,550",-0.10,0.65,45.67,85,-28,264,
,8,-,-,-,11.10,-,"44,250",12.75,14.45,"44,250",106.00,"13,275",0.20,1.40,"22,125",-,1.50,-,-,-,7,
,3,-,-,-,8.00,-,"13,275",12.10,13.05,"17,700",107.00,"4,425",0.80,0.95,"4,425",-0.20,0.85,44.40,10,-8,76,
,27,-,-,-,12.00,-,"17,700",11.35,12.25,"30,975",108.00,"4,425",0.95,1.05,"8,850",-0.20,0.95,43.46,57,5,95,
,26,1,1,25.72,11.20,-1.05,"4,425",10.45,11.30,"13,275",109.00,"4,425",1.05,1.25,"4,425",-0.20,1.10,43.07,2,-,38,
,240,-9,44,-,9.75,-0.45,"4,425",9.65,10.45,"17,700",110.00,"22,125",1.25,1.35,"13,275",-0.20,1.30,43.09,203,24,926,
,38,-,-,-,9.65,-,"17,700",8.75,9.65,"13,275",111.00,"4,425",1.40,1.55,"4,425",-0.10,1.55,43.40,3,-1,35,
,62,-,-,-,8.70,0.10,"17,700",8.10,8.80,"4,425",112.00,"4,425",1.65,1.80,"4,425",-0.20,1.70,42.22,56,29,124,
,42,-,-,-,8.20,-,"17,700",7.25,8.10,"13,275",113.00,"4,425",1.85,2.00,"8,850",-0.30,1.85,40.87,17,-2,86,
