CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,6,-,-,-,99.00,-,"4,600",102.95,106.20,"8,050",340.00,"3,450",0.30,0.40,"3,450",-,0.35,54.56,74,-35,290,
,-,-,-,-,-,-,"8,050",83.00,87.10,"3,450",360.00,"19,550",0.40,0.50,"26,450",-0.10,0.50,47.11,75,-8,434,
,36,-,-,-,73.40,-,"1,150",73.25,76.65,"4,600",370.00,"10,350",0.60,0.70,"24,150",-0.10,0.65,43.98,53,-7,308,
,51,-,1,-,65.55,-0.45,"8,050",64.20,66.90,"2,300",380.00,"10,350",0.90,0.95,"6,900",-0.10,0.95,41.77,221,-35,814,
,105,-,4,-,55.55,-0.50,"1,150",55.35,56.70,"1,150",390.00,"5,750",1.35,1.40,"8,050",-0.15,1.35,39.28,312,-65,491,
,323,-7,116,24.50,46.15,-1.95,"1,150",45.75,47.20,"2,300",400.00,"1,150",2.00,2.05,"3,450",-0.25,2.00,37.17,"1,040",96,"2,184",
,319,-1,5,30.65,37.85,-1.55,"9,200",36.45,38.40,"2,300",410.00,"3,450",3.15,3.25,"3,450",-0.10,3.20,36.04,992,87,"1,143",
,617,-10,63,30.73,29.65,-1.20,"1,150",28.45,30.15,"3,450",420.00,"2,300",4.90,5.00,"2,300",-0.10,4.95,34.84,"1,257",71,"2,134",
,"1,924",-57,257,30.12,22.15,-1.20,"1,150",22.05,22.60,"2,300",430.00,"1,150",7.45,7.55,"1,150",0.05,7.50,33.80,983,-4,"2,057",
,"2,506",-102,"1,511",30.46,16.10,-0.80,"1,150",15.95,16.10,"1,150",440.00,"1,150",11.15,11.30,"1,150",0.10,11.30,33.53,"1,702",78,"1,933",
,"3,971",12,"2,847",30.37,11.10,-0.80,"1,150",11.10,11.20,"1,150",450.00,"1,150",15.90,16.45,"1,150",0.20,16.20,33.28,830,58,"1,651",
,"2,694",162,"1,794",30.69,7.45,-0.60,"3,450",7.40,7.50,"1,150",460.00,"1,150",22.15,23.20,"1,150",0.45,22.50,33.80,191,-5,"1,200",
,"1,690",73,"1,327",31.23,4.90,-0.50,"21,850",4.90,5.00,"8,050",470.00,"1,150",29.40,30.95,"1,150",0.30,29.20,32.81,15,-3,257,
,"2,387",-22,"1,362",32.15,3.25,-0.25,"1,150",3.20,3.25,"6,900",480.00,"1,150",37.65,38.35,"1,150",0.85,38.10,36.07,32,4,563,
,815,13,402,33.34,2.20,-0.20,"6,900",2.10,2.20,"2,300",490.00,"8,050",45.70,48.10,"2,300",-0.05,46.90,37.72,7,-,441,
,"4,654",75,"1,190",34.82,1.55,-0.15,"5,750",1.50,1.55,"4,600",500.00,"1,150",55.85,56.55,"2,300",0.25,56.10,39.70,16,-4,"1,749",
,551,26,201,35.86,1.05,-0.15,"14,950",1.00,1.10,"11,500",510.00,"4,600",64.35,66.75,"1,150",2.75,65.75,42.95,4,-3,145,
,706,-40,343,37.22,0.75,-0.10,"23,000",0.70,0.75,"6,900",520.00,"8,050",74.00,77.20,"2,300",-,72.75,-,-,-,187,
,253,-9,87,40.65,0.45,-,"5,750",0.40,0.45,"4,600",540.00,"4,600",93.55,95.80,"4,600",-,100.00,-,-,-,36,
,286,6,51,43.07,0.25,-0.05,"35,650",0.20,0.30,"20,700",560.00,"4,600",113.40,116.50,"1,150",-,126.00,-,-,-,8,
