CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,244.00,"60,000",0.10,0.15,"78,000",-,0.10,47.62,2,-1,101,
-,-,-,-,-,-,-,-,-,-,-,246.50,"3,000",0.05,0.15,"3,000",-,0.10,-,-,-,1,
,25,-,-,-,62.40,-,"12,000",65.75,70.80,"3,000",249.00,"36,000",0.05,0.15,"42,000",-,0.15,-,-,-,82,
,5,-,-,-,52.50,-,"9,000",60.80,68.80,"9,000",254.00,"30,000",0.10,0.15,"99,000",0.05,0.15,43.53,10,4,124,
-,-,-,-,-,-,-,-,-,-,-,259.00,"1,53,000",0.05,0.10,"24,000",-0.05,0.05,35.00,13,-6,234,
,5,-,-,-,51.60,0.05,"9,000",54.80,62.80,"9,000",260.00,"4,08,000",0.05,0.10,"78,000",-0.05,0.10,37.48,39,-,400,
-,-,-,-,-,-,-,-,-,-,-,261.50,"36,000",0.05,0.20,"30,000",-,0.55,-,-,-,32,
,17,-,-,-,40.00,-,"9,000",50.85,58.85,"9,000",264.00,"99,000",0.10,0.15,"30,000",-0.05,0.15,37.02,22,-4,578,
,-,-,-,-,-,-,"9,000",49.85,57.80,"9,000",265.00,"45,000",0.10,0.15,"9,000",-,0.20,37.97,27,3,133,
-,-,-,-,-,-,-,-,-,-,-,266.50,"36,000",0.10,0.20,"6,000",-,0.20,-,-,-,93,
,4,-,-,-,39.00,-,"9,000",45.80,50.70,"3,000",269.00,"57,000",0.15,0.20,"9,000",-0.05,0.15,33.82,6,-1,85,
,-,-,-,-,-,-,"9,000",44.85,52.85,"9,000",270.00,"2,07,000",0.15,0.20,"27,000",-0.05,0.20,34.66,28,-16,280,
-,-,-,-,-,-,-,-,-,-,-,271.50,"3,000",0.15,0.35,"6,000",-,0.30,-,-,-,92,
-,-,-,-,-,-,-,-,-,-,-,272.50,"15,000",0.10,0.45,"3,000",-,0.60,-,-,-,52,
,81,-,1,-,42.00,0.50,"9,000",40.90,45.70,"12,000",274.00,"99,000",0.20,0.30,"21,000",-0.20,0.20,32.04,112,-34,474,
,-,-,-,-,-,-,"9,000",39.85,48.05,"9,000",275.00,"3,000",0.25,0.30,"27,000",-0.10,0.30,33.58,113,55,184,
-,-,-,-,-,-,-,-,-,-,-,276.50,"36,000",0.15,0.80,"3,000",-,0.45,-,-,-,56,
,-,-,-,-,-,-,"9,000",37.30,46.40,"9,000",277.50,"12,000",0.20,1.60,"90,000",-,0.45,-,-,-,61,
,18,1,2,-,38.95,8.95,"3,000",39.35,40.75,"3,000",279.00,"6,000",0.35,0.45,"3,000",-0.20,0.35,31.71,76,-18,100,
,2,-,-,-,38.00,0.65,"9,000",35.00,42.95,"9,000",280.00,"18,000",0.40,0.50,"21,000",-0.15,0.45,32.55,385,-114,432,
,1,-,-,-,26.30,-,"9,000",35.95,39.15,"12,000",281.50,"3,000",0.25,1.25,"9,000",0.05,0.50,32.14,5,-5,44,
,-,-,-,-,-,-,"36,000",35.40,37.75,"12,000",282.50,"3,000",0.50,0.65,"3,000",-,0.80,-,-,-,95,
,342,-,-,-,37.55,-,"12,000",34.20,36.20,"12,000",284.00,"9,000",0.60,0.65,"6,000",-0.20,0.60,31.51,310,191,595,
,-,-,-,-,-,-,"21,000",33.05,35.25,"12,000",285.00,"36,000",0.65,0.70,"12,000",-0.20,0.70,31.84,115,14,241,
-,-,-,-,-,-,-,-,-,-,-,286.50,"3,000",0.75,2.10,"21,000",-,1.15,-,-,-,64,
,-,-,-,-,-,-,"12,000",30.75,32.95,"12,000",287.50,"6,000",0.80,0.90,"9,000",-0.25,0.85,31.33,29,5,92,
,5,-,2,30.06,30.80,8.40,"3,000",30.10,31.20,"3,000",289.00,"12,000",0.95,1.00,"15,000",-0.25,0.95,31.00,166,-24,207,
,76,-,-,-,27.65,-,"9,000",29.25,30.35,"9,000",290.00,"27,000",1.00,1.10,"33,000",-0.30,1.05,30.99,350,36,400,
,8,-,-,-,21.65,-,"9,000",27.40,29.20,"12,000",291.50,"6,000",1.15,1.25,"9,000",-0.30,1.20,30.86,46,1,77,
,3,-,-,-,20.95,-,"9,000",26.20,28.45,"12,000",292.50,"3,000",1.25,1.35,"6,000",-0.30,1.25,30.37,49,-4,50,
,663,-1,11,33.24,26.90,2.25,"3,000",25.60,26.85,"3,000",294.00,"15,000",1.40,1.50,"6,000",-0.30,1.50,30.72,196,1,610,
,2,-,1,11.88,24.00,1.90,"3,000",24.70,26.15,"12,000",295.00,"6,000",1.50,1.60,"12,000",-0.35,1.60,30.45,221,-19,182,
,15,-,-,-,17.30,-,"12,000",23.00,24.95,"12,000",296.50,"3,000",1.70,1.85,"3,000",-0.40,1.70,29.67,38,4,126,
,1,-,-,-,17.00,-,"9,000",21.80,23.95,"9,000",297.50,"3,000",1.85,1.95,"3,000",-0.40,1.85,29.59,28,10,77,
,31,-7,9,30.45,22.30,-0.25,"3,000",21.35,22.40,"3,000",299.00,"3,000",2.10,2.20,"6,000",-0.45,2.15,29.76,92,8,197,
,129,3,66,27.64,20.95,0.55,"3,000",20.70,21.30,"3,000",300.00,"21,000",2.25,2.35,"18,000",-0.40,2.35,29.78,776,1,"1,181",
,29,-,-,-,19.15,-0.05,"12,000",18.90,20.60,"12,000",301.50,"3,000",2.50,2.65,"3,000",-0.40,2.55,29.23,39,9,150,
,28,-,1,28.50,19.15,-1.35,"12,000",18.10,19.70,"12,000",302.50,"3,000",2.60,2.80,"3,000",-0.50,2.70,28.89,20,7,66,
,231,-17,39,26.67,17.60,0.40,"9,000",17.50,18.00,"3,000",304.00,"6,000",3.00,3.10,"12,000",-0.50,3.10,29.06,227,-27,265,
,97,3,48,27.12,16.95,0.70,"3,000",16.75,17.10,"3,000",305.00,"3,000",3.25,3.35,"12,000",-0.55,3.25,28.60,234,25,285,
,120,-3,7,27.30,15.90,1.15,"12,000",14.80,16.60,"6,000",306.50,"3,000",3.60,3.75,"3,000",-0.35,3.75,28.94,32,6,145,
,52,2,9,27.73,15.30,1.30,"15,000",14.05,15.85,"9,000",307.50,"3,000",3.85,4.00,"3,000",-0.45,4.00,28.76,82,12,109,
,106,-8,39,26.69,14.00,0.35,"6,000",13.60,14.65,"3,000",309.00,"9,000",4.25,4.45,"9,000",-0.50,4.45,28.66,134,5,199,
