CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"4,94,000",5.30,5.55,"1,82,000",14.00,-,-,0.05,"4,16,000",-,0.05,-,-,-,18,
,2,-,-,-,4.20,-,"5,72,000",4.30,4.50,"1,82,000",15.00,-,-,0.05,"15,34,000",-,0.05,64.01,2,-,255,
,3,-,-,-,3.40,-,"1,04,000",3.40,3.55,"1,82,000",16.00,"3,12,000",0.05,0.10,"33,54,000",-,0.05,50.54,8,-6,189,
,94,4,10,37.85,2.45,-0.15,"2,34,000",2.45,2.50,"26,000",17.00,"1,06,08,000",0.05,0.10,"8,58,000",-0.05,0.05,37.43,142,57,562,
,290,11,203,38.25,1.60,-0.05,"3,38,000",1.55,1.65,"3,38,000",18.00,"27,56,000",0.15,0.20,"2,60,000",-,0.20,38.51,333,10,562,
,896,14,392,34.18,0.85,-0.05,"15,34,000",0.80,0.85,"1,56,000",19.00,"2,60,000",0.45,0.50,"7,80,000",0.05,0.50,37.51,328,-62,744,
,"1,469",-81,"1,771",34.75,0.40,-0.05,"30,68,000",0.40,0.45,"40,30,000",20.00,"26,000",1.00,1.10,"1,30,000",0.05,1.00,35.59,56,28,325,
,835,-121,"2,029",38.27,0.20,-0.05,"64,74,000",0.20,0.25,"84,76,000",21.00,"26,000",1.75,1.90,"52,000",0.20,1.85,43.35,25,13,115,
,658,-,70,46.47,0.15,-,"81,90,000",0.10,0.15,"81,12,000",22.00,"2,60,000",2.60,2.75,"52,000",0.10,2.65,38.45,2,-,63,
,374,1,24,51.40,0.10,-,"1,04,26,000",0.05,0.10,"65,26,000",23.00,"3,64,000",3.55,3.80,"5,20,000",0.10,3.60,40.19,1,1,5,
,355,35,44,52.26,0.05,-0.05,"55,12,000",0.05,0.10,"54,86,000",24.00,"1,82,000",4.50,4.80,"3,12,000",-,4.50,-,-,-,1,
